コメントID,タイプ,親コメントID,投稿者名,投稿日時,いいね数,コメント本文,投稿者プロファイルURL,動画URL
UgzlksKCAl9OlVPig4J4AaABAg.ARJaawW8jq4ARJvmZHym2Y,Reply,UgzlksKCAl9OlVPig4J4AaABAg,@ササクロ,2025-12-29T14:13:58Z,0,ハハハ、何となく理解出来そう。前提として戦前、戦中、戦後生まれの兄弟のある身。幼少期に14歳年上長兄（自分は末子）が同年代の近所の人と美味しそうな匂いのある鰻をあてにして日本酒を飲んでいた。その鰻は地元産と言うか青年期の男たちが長さが100ｍに満たない小さな河川で。別に恨んではない、当時はそんな時代だけど結局は中高校生で鰻を食した記憶はなかった。現在の鰻は産地によって価格は全然違うことは認識、産地偽装がないことを願うことも、産地偽装をした業者はバレたら現日本では一巻終わり、他の国でどうかは不明。中国産、韓国産の食品には健康的に恐怖。,https://yt3.ggpht.com/ytc/AIdro_kl5DflvSAt5cCateTrSwaLn4GBN9r6Kpu3KbWBVHt3T53dfl0=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzlksKCAl9OlVPig4J4AaABAg.ARJaawW8jq4ARKiOaxv8PO,Reply,UgzlksKCAl9OlVPig4J4AaABAg,@masayaototaman,2025-12-29T21:36:12Z,0,"アラフィフだけど、
子供の頃は、大して好きじゃなかった。
油っこくて嫌だった。
今は好きだけど、
輸入物は食べたくないけど、
国産は高すぎる。
国産が500円とかで売ってた時代やったのに、せめて、
あの頃、もっと食べて置けば良かった😢",https://yt3.ggpht.com/ytc/AIdro_mNxI7KKsxSgFysasVfNH-joL1uvxTK9JVW7agFLs0=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
Ugytol95crYbcpK5Eb94AaABAg,Thread,,@toro-i_mokuba,2026-01-10T11:55:04Z,0,"子どもの頃はうなぎ嫌いだったな。ただの食わず嫌いだったけど。
成人して少しづつ食えるようになった。",https://yt3.ggpht.com/3d0EwPqCnyOUCszvxm43ghcgWOsAzX2zAEeSrqwViydL_JeEzlJsR6Qqt_GzvZNoINTY_w-4_Q=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
Ugw7dcR984Z7Pb4NXdh4AaABAg,Thread,,@ササクロ,2025-12-29T12:57:32Z,3,65年程昔の幼少期には住んでいた長さ数十メートルの小さな河川、川幅は数メートル（源流を辿っても長さは百メートル単位）でも河川の石垣の中にウナギはいた。上の世代の一部では娯楽的に食してしていたみたいだが自分としては経験は皆無で匂いだけの記憶は鮮明。ド田舎の自給自足的な生活圏、親たちは面倒なウナギより簡単に採れる海の魚と畑の野菜どころか麦、芋で忙しい生活感だった。自家製の芋飴はあった。　現在では高級食材の松茸、赤松がなかったから松茸は皆無だしタケノコの採れる竹もなかった地域出身のボヤキ。中高生頃に先の河川は車社会到来的なことでコンクリートの蓋。当然ながら梅雨前のホタルも消滅。江戸時代食文化は色々ながら幼い頃に地元のウナギを食べたかったが叶うことはない。,https://yt3.ggpht.com/ytc/AIdro_kl5DflvSAt5cCateTrSwaLn4GBN9r6Kpu3KbWBVHt3T53dfl0=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
Ugw7dcR984Z7Pb4NXdh4AaABAg.ARJn1lz6fINARMPyY0KmL1,Reply,Ugw7dcR984Z7Pb4NXdh4AaABAg,@9lives90,2025-12-30T13:24:58Z,3,ボケ老人の日記帳？,https://yt3.ggpht.com/XPKoLFr9-fu2YK225b3PQQrj4BdRbFsendELo1wYipRD2Z9w9vTaI6BA8wBXplSPSiZX67UyoA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
Ugw7dcR984Z7Pb4NXdh4AaABAg.ARJn1lz6fINARQ64MtS38h,Reply,Ugw7dcR984Z7Pb4NXdh4AaABAg,@kou12385,2025-12-31T23:48:06Z,1,散文,https://yt3.ggpht.com/ytc/AIdro_n-6RW7yHnAVJghxO10WjUQZsKvMPGOD7WLkQp8UMcyRafOGcU9XC42RB35QvDCecSw1g=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgwVlQw03C1bLA2OAV94AaABAg,Thread,,@traintrainhashitteyuku,2025-12-29T22:51:02Z,0,よく考えたらスーパーで買うばかりで、店でうなぎなんか何年も食べてない…正月になったら食べに行くか,https://yt3.ggpht.com/ytc/AIdro_lllCKi8RHsArzjzOX_NrySNQBwNcfzpSCvJgQVzAY=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgyG07Hth5VqJlZYYDp4AaABAg,Thread,,@d-zenu2505,2025-12-30T20:06:41Z,0,"子供の頃は留守番の時は中国産をチンして食べてたね。
一枚３００円位。",https://yt3.ggpht.com/ytc/AIdro_kEmwfiMAh004EWdK2Ye5s5AAaelujfJn4OUGqHH60=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgxwCIyd_WfuSBHYI2t4AaABAg,Thread,,@セミファイナルエターナル,2026-01-13T10:54:00Z,0,役に立たない枝豆,https://yt3.ggpht.com/7HJ2FDzGokmd1psj0hHF2pRHA7sBaceMVmWvNhuhMu1020XwejBerjLSTZ53jEQunW-WvKJmTBE=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
Ugy7avch6elQ7e81BN94AaABAg,Thread,,@娘ちゃんねる抹茶味z,2025-12-29T23:40:23Z,4,"途中で蒸さずに最初から最後までじっくり焼き上げたのが大好き

それと頭はつけたまま焼いてね
あそこも美味しいんだから",https://yt3.ggpht.com/RJRwROoFNlsRUXkmGYPCTIVsuqx7Mw_Son1vaonitPo8illBn2cD3sDwtaGIaQx1ckNC5l-U=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgxcEwdRoiQIPNsTYWd4AaABAg,Thread,,@MR-ek7km,2026-01-05T05:59:13Z,2,"今みたいなうなぎの蒲焼きの作り方って何時からやってたんやろ？
現代は裂き、串刺し、焼き習得するのにめっちゃ時間掛かる。
うなぎ大好きやけど値段高過ぎてしばらく食べてない（泣）。",https://yt3.ggpht.com/kCMDz_zHtGVB85EoMLrOkUUqiX1LSZdlCOjaDCGwLaTntk7PftvLW34GyuWAyH8pxRi65eJpp3A=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgxcEwdRoiQIPNsTYWd4AaABAg.ARa3j0u2iDAAS4N3y9Ccfy,Reply,UgxcEwdRoiQIPNsTYWd4AaABAg,@闘神ブリザード,2026-01-17T09:44:42Z,0,"蒸すのが始まったのは明治時代からですね。
現在と変わらない関東風の鰻の蒲焼は明治時代からで良いと思います。",https://yt3.ggpht.com/ytc/AIdro_n9A3QMA4ZiiA76BjELBlC4Ni3VOHz5myLyIhtG90LBuw=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgxErrB0aieP91BAo614AaABAg,Thread,,@うさまる-0,2026-01-13T13:15:28Z,1,今回の(も か…)ずんだもんは頭悪すぎて…,https://yt3.ggpht.com/85j9dytj6oL2IvoNvKkqr5o0uBJ3B53osx12BX6xleqX8VxaK_pEB_xhqz2poYmWRQNRscuq=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgxM6u_cpmq8PFe3_-R4AaABAg,Thread,,@うまいうなぎ-u1c,2025-12-30T06:12:52Z,2,ひょぇ～～～江戸時代ただでもいらないウナギ🙀😱🦉🐢🦌🍵今年のニュースで日本でウナギの完全養殖が成功したとか🤔🍵,https://yt3.ggpht.com/ytc/AIdro_la751b0Est-eB4aAesCPVQNgrHor-1oveXMEWWTRM=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
Ugxie9DaKp89pTsNBMZ4AaABAg,Thread,,@tubemimimi,2026-01-01T07:34:20Z,0,"鰻なんてもんは昔はカツ丼のライバルでよ、ちょっとだけ贅沢なしなもんで気分で食べてたもんだ
今みたいに高い金払って食うもんじゃなかった",https://yt3.ggpht.com/ytc/AIdro_nnHJ1LL-ldSrd-QSdpd8nXBJaoQZNZvUMTNmFxsWw=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgwPZSs23nQRa5_t4dx4AaABAg,Thread,,@三浦秀樹-c7g,2026-01-02T17:59:21Z,2,…アメリカ滞在時に街を流れる大きな川が有り、よくそこでナマズ（キャットフィッシュ）やバス等を友達同士で釣っていました…ある日夜釣りを楽しんでいると私の竿にあたりがあり引き上げてみると…大きく太いウナギが釣り上がりました…日本の鰻とは明らかに違うそのサイズと色…全体的に濃い緑色に近い色で顔も少しシャープな感じの鰻でした…取り敢えず持ち帰り友達と2人でなんとか捌き蒲焼きにしようと串に打ちました…兎に角デカかったので、やく4人分位の鰻の串打ちが完了…身も皮も厚くてゴワゴワしていたので　先ずは蒸してそれからガス台で焼きました…段々といい匂いがしてきてついに焼き上がり…恐る恐る一口食べてみると…皮が硬くて嚙み切れない…皮の部分を外して身だけを御飯に乗せて追いタレを掛けて山椒を振り食べるとなかなか美味しいのですが、脂が強くて途中で胸焼けしそうに成りましたね…😅,https://yt3.ggpht.com/ytc/AIdro_l4w6hI1NhK9-G8kQZlb-y3xmNt4vWmp6WSCRoqHuI=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzjkA0TB81LcMtpRCJ4AaABAg,Thread,,@クソえもん-f9w,2026-01-04T15:25:06Z,0,関西在住だけどウナギは関東焼きが好き😊というか日本に来る前に中国やら台湾が稚魚獲りすぎ😂,https://yt3.ggpht.com/ytc/AIdro_nwNUVSWaL8XaOR1Hwa6q0QnBvbcojhq_Ml5EdqSA3NjA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzjkA0TB81LcMtpRCJ4AaABAg.ARZVglEIe68ASVyVYdZsPF,Reply,UgzjkA0TB81LcMtpRCJ4AaABAg,@fishingtrail3247,2026-01-28T03:00:00Z,0,それは日本人が食べるから,https://yt3.ggpht.com/ytc/AIdro_k4COgHIbQxq1cZRNvw6yYwqgTRzaEgjhEN8aY4rF1b6cU=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
