コメントID,タイプ,親コメントID,投稿者名,投稿日時,いいね数,コメント本文,投稿者プロファイルURL,動画URL
UgwY4oGuYYInExPnTCZ4AaABAg,Thread,,@うさまる-0,2025-11-07T03:44:02Z,54,一人暮らしの寒い冬の夜は、サッと用意した安い具材に一人鍋と安いポン酒を煽って早々に寝ちゃいましたね。まさにこんな感じでした。,https://yt3.ggpht.com/85j9dytj6oL2IvoNvKkqr5o0uBJ3B53osx12BX6xleqX8VxaK_pEB_xhqz2poYmWRQNRscuq=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwY4oGuYYInExPnTCZ4AaABAg.APCuMG8e82yAPGL8a6PtMA,Reply,UgwY4oGuYYInExPnTCZ4AaABAg,@みつぎひろ,2025-11-08T11:44:33Z,2,暖房が勿体ないからまさにそれでした,https://yt3.ggpht.com/ytc/AIdro_l6R3lJD_9LzxGoeJ3fmUuFPe6YavxArLjE_Fi2I_o=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugxedn9MbVKRROtgYAB4AaABAg,Thread,,@スタンバイ-w3o,2025-11-07T06:17:28Z,25,たくさんある江戸ずんだもんシリーズで1番好きです😊,https://yt3.ggpht.com/DCKDPS4G-GOU5PXEXisXIaMtT-rMeSgj64jiJwHfD3OPJuP8HW1DymRYt4WFwo5rJd9bznmvCPU=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzUfS5sxUTiRiNR5C54AaABAg,Thread,,@山田太郎-c2i4j,2025-11-08T16:41:49Z,3,外が猛吹雪のときにやるボッチ鍋は最高に楽しい,https://yt3.ggpht.com/ytc/AIdro_nokoVjmKxUdRcLBgsEz_bQVX1aSx8pBavbUHICQ2U=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzLeRDiLiDoq0Jxxdp4AaABAg,Thread,,@国産チキン-t2o,2025-11-09T14:10:22Z,4,ちょんまげヘアスタイルずんだもんさんが地味に笑えますｗ,https://yt3.ggpht.com/ytc/AIdro_ng3vdmQ70ckkEDn8ODXy01T1k4iclHBSOBC5Qal-YxKcB6AAI=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugz9UDWVeVqlWDR6-M94AaABAg,Thread,,@ryuzyamex6484,2025-11-08T05:10:33Z,14,このずんだもんかわいいね。思わずコメントしたくなった。ははは。,https://yt3.ggpht.com/ytc/AIdro_mmyYMkvecHY01AR5QJnyPJpe8EBcs8sxV7vchqJkc=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyatJng_V4HDVapoGB4AaABAg,Thread,,@taikoojisan-y7v,2025-11-08T09:01:12Z,4,21世紀には炊飯器という便利な機械があるのだ何でも作れるのだ,https://yt3.ggpht.com/VN8V7ITu3AUbaPHa_GEf7hAZwwhp_zPsWTaS77fEyHOsXTllMD8aK3bV-x4EcMDjqm-lcGr9=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwbtCofoBouWRUkmD54AaABAg,Thread,,@bloodingdog,2025-11-09T04:14:04Z,4,"未来人に負けてらんねぇよ。
江戸っ子は本当に言いそうよね",https://yt3.ggpht.com/pWyoPzXO7krnJRGi4MX3c15lI4b9c15DWVGfsVM80cQHAMUdzth7ntTw99BQybx8LFzu1Z7E7w=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugx2YMJ-awUg3vC2nrl4AaABAg,Thread,,@えんじぇう-i3z,2025-12-14T19:54:28Z,2,今だったらスマホがあるから独り身でも鍋と酒で好きな映画トカ音楽とかゲームとかそれぞれより楽しめるよね！！,https://yt3.ggpht.com/Qjkx8BIiu09GLQPDNVgjmm9gdc-_2IYCkMOCfErAG3YTJrmzfySUT_BGDUHUTSF-KvgYKLwy3Js=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyHRIdZ1qVGwjkGe0l4AaABAg,Thread,,@トムハンクス-u3g,2025-12-14T16:46:07Z,4,俺の愛する晩飯が江戸レベルなんやが,https://yt3.ggpht.com/ytc/AIdro_mYTEL7ki2lRn-psoWVTaL3LMDgj3IYljQbSSmnGnc=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwOSkueyOVvsQdXQG14AaABAg,Thread,,@user-Turbo65,2025-12-07T13:40:22Z,3,"7:32
この時代ではお湯を沸かすのに火を使わなければ？と思った",https://yt3.ggpht.com/-8y40tTVFLf2QCSvGf5lxq1Ym7qof38Q3nKXcSdxx8intkq0X2RM7i6rPXFyH9P5qBNVFSW6yQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxWkKMZOoe18h4gA594AaABAg,Thread,,@ウェンデにゃん,2025-11-07T06:44:21Z,16,"とても楽しくて良かったです（笑）
ここ最近は作風が変わって😢うーん
って思ってました（笑）",https://yt3.ggpht.com/_a7mZf0177-3eHT1NcwbQvjv9yxBiEYj8H55QgpLlRvPHKaSrrHqLZ9oazuSN8IwnZHDd3x7=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzR9dRasgM_up_s5EJ4AaABAg,Thread,,@三鴎,2025-11-09T07:18:52Z,4,ずんだもんの髪型蛾みてーだよww,https://yt3.ggpht.com/ytc/AIdro_kSgzsn-PaGdvyWXb6AMhFa1gscZpG84RXiatevNLqmSu1hqWQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugx9V5Rab4P-cKKWZ6F4AaABAg,Thread,,@タキN,2025-11-08T02:38:27Z,7,仕掛人で橋爪功さんの長屋で食べるいる豆腐料理がおいしそうだった。渡辺謙さんが食べるほかの料理もおいしそうだった,https://yt3.ggpht.com/ytc/AIdro_ntMIegE87nmoZTboy1Eyf_bs-coVd4EjSsNadYRQ8=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxsRVQW0A1yIWj43r14AaABAg,Thread,,@よっしーa,2025-11-09T19:21:40Z,3,一人鍋も良いけど、一番楽な自炊は雑炊かな。鍋のまま食って洗う,https://yt3.ggpht.com/ytc/AIdro_msW8U4_0K-WVj4uQkgZyja2w5RoAk3nuId_Xgg9fC69Mk=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzcwcIT_bqF3f-Iqu54AaABAg,Thread,,@さとこ-i6b,2025-11-07T12:55:46Z,6,大丈夫だぞ辰五郎。辰之助や辰也という子孫がいるから。,https://yt3.ggpht.com/ytc/AIdro_lMrkdiZ4yZJwFripA4ubkoJ_MnUDH1BkyqIwA_63A=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzA8ExrpQsW0PeJzqR4AaABAg,Thread,,@kenken-b6l,2025-11-08T12:34:26Z,1,"てんぷらのマイナス点が
辰五郎の事情だけで草。",https://yt3.ggpht.com/ytc/AIdro_naO-4sl0iNRVIYMFKE_1w3KRZjdoujRE8fqBUpRMF4hqBpAhmO9ovoOzKerN1x_oFJ6Q=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugxg68zCvblxqJO1uVl4AaABAg,Thread,,@maroon3mk2,2025-11-08T20:47:45Z,0,枝豆のチョンマゲ斬新すぎてすこ,https://yt3.ggpht.com/ytc/AIdro_mgyfMfc5HdTcx3q4TL_YZI4m6B-nyk2dnu7dAfYw0Qqfw=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyN8Z7_pJNgMLcgfzJ4AaABAg,Thread,,@nakkutu,2025-11-07T15:40:33Z,6,そこに切り餅二枚も入れりゃ、もう言うことないね,https://yt3.ggpht.com/ytc/AIdro_kxvlDE3TsXZ7b2C_Io1C1PLiij7DokduEFEm-XQAs=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyT7Bgat-mlrOQ3l_V4AaABAg,Thread,,@炎の男-n6z,2025-11-07T08:39:44Z,13,"やはり辰五郎が出ないとね！

近頃出番が無かったから。",https://yt3.ggpht.com/ytc/AIdro_n0iYyHiMEAQ9R79q1Vf72xlBYlXAW7yhVCwRILZls=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugx5hD-XYGTXXXPqo654AaABAg,Thread,,@toro-i_mokuba,2025-11-09T03:39:00Z,3,自分もずっと一人だから、その分日々の食事に変化をつけて楽しんでいます。,https://yt3.ggpht.com/3d0EwPqCnyOUCszvxm43ghcgWOsAzX2zAEeSrqwViydL_JeEzlJsR6Qqt_GzvZNoINTY_w-4_Q=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugx5hD-XYGTXXXPqo654AaABAg.API2NCNryS_APTqBE4cAT5,Reply,Ugx5hD-XYGTXXXPqo654AaABAg,@吉村道明-p6o,2025-11-13T17:34:40Z,2,"貴方も一人ですか、
私もずーっと一人です。
わかります、わかります!",https://yt3.ggpht.com/OK7lB-9N_a4MU_xJGTkaDqiZV8pJFbA-Z0uF8mPrC_2wChGiQVge1bgUgiHUPhW01aeqrBhe7g=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwOfQ_tN3PLnai4VPp4AaABAg,Thread,,@veryvery525,2025-12-19T11:21:17Z,2,赤だしみそはいいぞ,https://yt3.ggpht.com/ytc/AIdro_lKj9R05yxF5X8pupzQmSnIpPjqtDAxlXNiRVxgd8c=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgynyLUtGHSnFdagnYl4AaABAg,Thread,,@zuka2120,2025-11-11T13:20:34Z,4,鍋焼うどん。具はネギと卵で十分だけど油揚げも欲しいかな。,https://yt3.ggpht.com/ytc/AIdro_lpLDNdmg5UpkB8fxqPeLivRlDFyW853WL_8q3TuyMNtcCN=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzWFs1appmoCoBmZ9V4AaABAg,Thread,,@Hidemaruch,2025-11-08T05:17:07Z,2,"火を使わなくていいな！

↑お湯はどうやって作るのかな。。",https://yt3.ggpht.com/sriOAQaoONjO5EwcNOuu-4zNzJWaXD1iJA7hEe2b7_--OjxIVa8tuas9dvm_WL9NM1ET4p1Z=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugyze62Kyq4eiQlTgDV4AaABAg,Thread,,@和泉一郎,2025-11-08T13:35:58Z,6,江戸の食卓ってのも良いのですが、山ん中の農村や海岸部の漁師町なら、どんなメニューになるのかな？,https://yt3.ggpht.com/ytc/AIdro_mgrskRYed37OdtudEkNIR4MDictPwHS7xr1y-gd7c=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwtxWqSTskyZNHX18N4AaABAg,Thread,,@橋本ひろみひろみん,2025-11-08T14:17:19Z,3,最強、ボッチ飯🍚,https://yt3.ggpht.com/tiYxkj_o6WG2yB289_UhJX6IGK7eCxKpPZxEBzNF9c0yoApS00dQ8bDfZpnXNiA72YUaNsHyiDM=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzThCXS4d8soKrqJf54AaABAg,Thread,,@青木一茂-w8n,2025-11-08T16:26:03Z,5,還暦の一人鍋は、牛肉切落しと水菜のハリハリ鍋❤　市販の出汁で、締めにうどんで👍❗,https://yt3.ggpht.com/ytc/AIdro_nXpwz90VNhfoEbZkfO2Yzmf6U9ui_8_usb-ifwJiU=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugx6nyFTtb9wn1phMsZ4AaABAg,Thread,,@Dおら衛門,2025-11-13T14:36:07Z,1,遅く帰ってくると何食べても太るのでジコ坊のやつ　冷凍ブロッコリーかぼちゃ味噌お粥食べてる　美味しい,https://yt3.ggpht.com/ytc/AIdro_kK3FN-iRmQ9nIkI6cDOh90hS74t0f-kEZgvQHuKUqcEg=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyaWXDjGClxvCc4Y854AaABAg,Thread,,@運香武利蔵,2025-11-07T11:33:57Z,3,"江戸時代 100年前（昭和）
サムネ テキトーすぎて草😂",https://yt3.ggpht.com/ytc/AIdro_m18_OrhRNm8w21sEEKKOvr4xmFA7TIAVd6kNb9M2LtnXT-FQc=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyRXvc9VRmpUrGM_RF4AaABAg,Thread,,@azizkhan9704,2025-11-26T08:16:59Z,3,"7:16 
生 インスタントみたいなやつですね😅
それもお椀に入れて お湯 をかければすぐに飲められるっていうやつです😅
今はカップの中に入れて飲む のもいいですね😅",https://yt3.ggpht.com/ytc/AIdro_kdWs4NHCWwpDEM3Sfnb2DmbR5G6ogZXW0gMp0FDGvR3o4=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugz8UmnpFswcvA4sE7F4AaABAg,Thread,,@nanaha7781,2025-11-09T04:10:28Z,4,"豆腐もいいけど、コクと腹持ちを考えたら厚揚げがいいと思う
シメには冷や飯でも入れて雑炊に…
やっぱり『塩＋油＋糖質』は最強なんですねぇ",https://yt3.ggpht.com/ytc/AIdro_mWSiSd_RuQa0DIu7Gug_7Lzn9s8IjVMajCO5bOS5REKA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugxn2tTuvr1VmdhcZ3x4AaABAg,Thread,,@鈴木豊-f5c,2025-11-07T04:46:38Z,2,辰五郎は、もはやレギュラーキャラ？,https://yt3.ggpht.com/ytc/AIdro_mnj8wdXwGVkuHPs_U_25_fpd8S09y7Kezijfy1Y2QwUWA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxXwWBXiDEjaHX4bql4AaABAg,Thread,,@獅龍凰,2025-11-07T09:26:02Z,13,お湯用意したら火は使っとるやんけ(笑),https://yt3.ggpht.com/tIvcaaKYbq-77Y6Mq1odwzs-Csds6Tty6iZLYNmYTiLJEraYhsblMJrksfpjYB3SJyO_u9s1r60=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxXwWBXiDEjaHX4bql4AaABAg.APDWVCWYCc2APERkIa8cvd,Reply,UgxXwWBXiDEjaHX4bql4AaABAg,@芝鯖ロン,2025-11-07T18:03:47Z,14,火鉢にヤカン置くのは普通にある。,https://yt3.ggpht.com/ytc/AIdro_kxfFcy7D27j3yHNuApPHQuyDM09_Uwq43Jo5iHZNE=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxXwWBXiDEjaHX4bql4AaABAg.APDWVCWYCc2APGKsB4hGM6,Reply,UgxXwWBXiDEjaHX4bql4AaABAg,@Looshe.HappyTRIGGER,2025-11-08T11:42:11Z,10,​@芝鯖ロン今はファンヒーターがメインになって、ストーブでお湯沸かしたり、鍋でコトコトやったりって知らない世代が増えてるかもね。,https://yt3.ggpht.com/4AnRgPP_vOPPs7pJ44_1n5bSoW4wwv-RubHcH6Y4eztJgFq_NIU_3w3izq0eioeZkTi5iwFp=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwCxJ15GZqrpe8JYzx4AaABAg,Thread,,@katsupuyo1,2025-12-26T21:30:52Z,0,ずんだもんのチョンマゲ姿変すぎ草🌱,https://yt3.ggpht.com/ytc/AIdro_mL0Vn4z85fvgFLii3oc9Ilexgrwqf2kwHPpjbzxpc=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugyqs6GiegX7yD0F5LV4AaABAg,Thread,,@月影-q1w,2025-11-07T10:53:41Z,5,江戸時代の男の独り身は、結局屋台か居酒屋(煮売屋)だよな～😅,https://yt3.ggpht.com/ytc/AIdro_mTq6Z48KTYnHoyu_XSzvOU6C0cJLoHQM_ocAlL6WAUVA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwciwPLov14vUySUwJ4AaABAg,Thread,,@東村山ポンポコ左衛門ゴム長,2025-11-07T03:22:42Z,21,昔親ほど歳の離れた飲み屋のお姉さんが出してくれたレンチン湯豆腐が早くて安くて洗い物が出ないからマジオススメ,https://yt3.ggpht.com/ytc/AIdro_ljWXa6M_zWzH5qF5i2lF96KS_IriYqwKnDgvc-mNE=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwciwPLov14vUySUwJ4AaABAg.APCruz9GlMfAPFTnWh8A3z,Reply,UgwciwPLov14vUySUwJ4AaABAg,@大月十郎,2025-11-08T03:40:57Z,0,それ婆さんだろ笑,https://yt3.ggpht.com/ytc/AIdro_mAX1CfhVnRpZsI7B4GOWo7xfcSOWh8l3jCJH6qKFg=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwciwPLov14vUySUwJ4AaABAg.APCruz9GlMfAPGLEiR3XKU,Reply,UgwciwPLov14vUySUwJ4AaABAg,@Looshe.HappyTRIGGER,2025-11-08T11:45:24Z,1,"​@大月十郎年の離れたお姉さんと呼ぶくらいだから、美魔女だったのでは？

ワイも20代の頃に通った、B'z大好きなスナックのママは50超えてたけど、めっちゃキレイな方でしたよ？（笑）",https://yt3.ggpht.com/4AnRgPP_vOPPs7pJ44_1n5bSoW4wwv-RubHcH6Y4eztJgFq_NIU_3w3izq0eioeZkTi5iwFp=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzFRZ_zgEKT3EwQKZN4AaABAg,Thread,,@realfordf1865,2025-11-09T09:01:26Z,2,ググったら長ネギは大阪の陣で分捕って来た九条ネギみたいな品種の種を当時寒冷だった江戸で栽培出来る様に品種改良されて今の白い部分も食べる長ネギが出来たって説があるみたいね。ネギも江戸らしい食材だったのかも？,https://yt3.ggpht.com/ytc/AIdro_nXP3VffoGVtO6ZDEW7SYeogZSKdUDQ-PjfM0swAvs=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugw0Ih1l-adL2lLe5zR4AaABAg,Thread,,@阿部匠-k1q,2025-11-08T19:34:57Z,0,呉汁って手もあるな…,https://yt3.ggpht.com/ytc/AIdro_lFFW-nj60JfhTG590s75U0dWxzJiGsU07Mq2tqA7-t2yj2XpI=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzF31Lm6X9PTwksC8F4AaABAg,Thread,,@hinomaru_sensu,2025-11-07T03:36:27Z,9,オカラといえば「素浪人 花山大吉」😅,https://yt3.ggpht.com/AArkOmuvIKC75-Wbfa-_DrVKdyuMO0ZNiYJx-U9otr0kqehn3uFARcdvb-PWaz0RxwxX9mV7LA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzF31Lm6X9PTwksC8F4AaABAg.APCtUgCj4H3APGW5rM0dGS,Reply,UgzF31Lm6X9PTwksC8F4AaABAg,@和泉一郎,2025-11-08T13:20:18Z,2,よっ、近衛十四郎。,https://yt3.ggpht.com/ytc/AIdro_mgrskRYed37OdtudEkNIR4MDictPwHS7xr1y-gd7c=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxLRjx3Ebm7MHGd0ch4AaABAg,Thread,,@ロック6969,2025-11-08T13:51:45Z,0,"配信、感謝します。　台湾で食べた火鍋がなつかしく、しかし最適なタレに巡り遭うには時が掛かりました。　
Youki の麻辣火鍋の素で望みがかない、毎週ぐらい仕立ててます。　キノコ類を干す知恵も授かったので、ずいぶん豊かになりました。",https://yt3.ggpht.com/ytc/AIdro_mAJgEuSTJL3fE4_DM-dPpBQEs1_LGvCBsxpu3LU56LZQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyzafaEMQgmDKnTku94AaABAg,Thread,,@monger-z5u,2025-11-08T09:28:30Z,2,のちのあさげである,https://yt3.ggpht.com/ytc/AIdro_m2Vf0F2lr4XZ3SasUzJ8isR2xA070iqX2oKvEU-RSqkY8xVH5UiJORv-KncWkHvlzB7A=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwLTZx9knPRH-_mQBV4AaABAg,Thread,,@辻野英伸,2025-12-20T06:55:44Z,1,"ボッチ飯は、鍋料理に限る😅
初日は水炊き、次に味噌入れて味噌鍋、最後にカレー入れて😅",https://yt3.ggpht.com/ytc/AIdro_lDbPA3AdsJo_ytTd2kUyLKeBbBuSv5LgPV6jRJpxlqT_FbErQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugz24gCzv5NlEazYzeJ4AaABAg,Thread,,@lan-lw5qu,2025-11-11T08:16:59Z,5,"火鉢をみんな知らないのか？……
時代によっては、夜は土間にある釜戸に火を入れての煮炊きは禁止だが、火鉢のように灰の中に炭をオキにしておき簡単に炭に火が付くようにして暖房や湯を沸かしたりする。",https://yt3.ggpht.com/LFiXk0u6r-Zg-8XFovaZdKSWuhKific--YTj25yxCxSYtzOhCL8Q_-V8vWBsbJ9HwniqE2z4Jw=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
